Date;Open;High;Low;Close;Volume
2024.02.27 16:00;2035.54;2037.77;2029.62;2032.23;39956
2024.02.27 20:00;2032.26;2036.15;2028.63;2030.22;19558
2024.02.28 00:00;2029.84;2033.79;2029.07;2033.41;6367
2024.02.28 04:00;2033.41;2033.66;2029.66;2030.93;9478
2024.02.28 08:00;2030.9;2032.12;2024.76;2024.9;25412
2024.02.28 12:00;2024.87;2036.15;2024.38;2035.91;33932
2024.02.28 16:00;2035.72;2037.94;2030.3;2033.75;38174
2024.02.28 20:00;2033.75;2035.26;2030.71;2034.86;16687
2024.02.29 00:00;2035.24;2036.57;2033.78;2036.42;5143
2024.02.29 04:00;2036.41;2037.12;2034.24;2035.58;8906
2024.02.29 08:00;2035.56;2037.94;2033.93;2034.56;23769
2024.02.29 12:00;2034.46;2048.75;2027.97;2047.52;39040
2024.02.29 16:00;2047.51;2050.78;2043.18;2045.76;49301
2024.02.29 20:00;2045.74;2046.95;2042.68;2043.75;19734
2024.03.01 00:00;2043.47;2044.77;2042.68;2044.27;5671
2024.03.01 04:00;2044.27;2046.87;2043.31;2045;8023
2024.03.01 08:00;2045.03;2048.86;2038.92;2046.3;30077
2024.03.01 12:00;2046.31;2057.51;2045.82;2051.61;40105
2024.03.01 16:00;2051.61;2085.75;2045.54;2084.72;56381
2024.03.01 20:00;2084.71;2088.38;2082.17;2083.31;23657
2024.03.04 00:00;2082.62;2086.23;2079.37;2080.1;12498
2024.03.04 04:00;2080.12;2083.48;2079.83;2081.58;9896
2024.03.04 08:00;2081.45;2088.34;2081.01;2085.08;25246
2024.03.04 12:00;2085.25;2093.27;2081.07;2091.53;25991
2024.03.04 16:00;2091.57;2119.94;2090.4;2116.53;51473
2024.03.04 20:00;2116.53;2118.58;2113.25;2114.94;18495
2024.03.05 00:00;2113.84;2116.86;2110.43;2112.65;10706
2024.03.05 04:00;2112.71;2119.77;2111.15;2119.18;14595
2024.03.05 08:00;2119.17;2125.35;2113.88;2124.47;30304
2024.03.05 12:00;2124.42;2141.81;2121.1;2127.66;40097
2024.03.05 16:00;2127.67;2139.63;2123.58;2130.84;55306
2024.03.05 20:00;2130.86;2134.78;2126.97;2127.57;23261
2024.03.06 00:00;2127.37;2128.5;2125.04;2125.42;9660
2024.03.06 04:00;2125.41;2128.01;2123.59;2125.22;11671
2024.03.06 08:00;2125.24;2131.56;2124.25;2128.72;24506
2024.03.06 12:00;2128.71;2139.71;2124.59;2139.34;32445
2024.03.06 16:00;2139.36;2150.1;2132.13;2144.69;53301
2024.03.06 20:00;2144.68;2152.27;2139.38;2148.24;26833
2024.03.07 00:00;2147.72;2151.47;2144.2;2146.27;14258
2024.03.07 04:00;2146.28;2161.61;2145.58;2154.41;23474
2024.03.07 08:00;2154.54;2159.86;2151.63;2157.76;31842
2024.03.07 12:00;2157.75;2164.76;2153.23;2159.62;36060
2024.03.07 16:00;2159.46;2159.7;2147.98;2158.28;43820
2024.03.07 20:00;2158.29;2160.94;2155.99;2159.39;15510
2024.03.08 00:00;2158.85;2163.59;2157.59;2157.89;10320
2024.03.08 04:00;2157.84;2159.19;2153.96;2157.66;13636
2024.03.08 08:00;2157.64;2171.16;2156.35;2169;30237
2024.03.08 12:00;2169.01;2185.48;2156.09;2171.19;36817
2024.03.08 16:00;2171.17;2195.22;2163.8;2184.94;59251
2024.03.08 20:00;2185;2185.04;2168.24;2178.5;25628
2024.03.11 00:00;2179.67;2189.03;2177.09;2180.3;16750
2024.03.11 04:00;2180.31;2181.7;2176.79;2177.93;14330
2024.03.11 08:00;2177.95;2183.17;2175.91;2180.59;27136
